=== Video Duration Debug Log - Worker 0 ===
Started: 2025-09-04 17:41:22.335733
Format: [TIMESTAMP] RESOURCE_NAME | URL | RAW_HTML_ELEMENT | EXTRACTED_DURATION

[17:41:34] Acid-base definitions | https://www.khanacademy.org/test-prep/mcat/chemical-processes/acid-base-equilibria/v/acid-base-definitions-1 | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:49</span> | 7.8 minutes
[17:41:42] Ka and acid strength | https://www.khanacademy.org/test-prep/mcat/chemical-processes/acid-base-equilibria/v/ka-and-acid-strength | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:18</span> | 9.3 minutes
[17:41:50] Strong acid solutions | https://www.khanacademy.org/test-prep/mcat/chemical-processes/acid-base-equilibria/v/strong-acid-solutions | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:18</span> | 6.3 minutes
[17:41:56] Strong base solutions | https://www.khanacademy.org/test-prep/mcat/chemical-processes/acid-base-equilibria/v/strong-base-solutions | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:5:27</span> | 5.5 minutes
[17:42:03] Weak acid equilibrium | https://www.khanacademy.org/test-prep/mcat/chemical-processes/acid-base-equilibria/v/weak-acid-equilibrium | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:31</span> | 9.5 minutes
[17:42:09] Weak base equilibrium | https://www.khanacademy.org/test-prep/mcat/chemical-processes/acid-base-equilibria/v/weak-base-equilibrium | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:22</span> | 11.4 minutes
[17:42:16] Relationship between Ka and Kb | https://www.khanacademy.org/test-prep/mcat/chemical-processes/acid-base-equilibria/v/relationship-between-ka-and-kb | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:20</span> | 11.3 minutes
[17:42:23] Acid–base properties of salts | https://www.khanacademy.org/test-prep/mcat/chemical-processes/acid-base-equilibria/v/acid-base-properties-of-salts | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:13:33</span> | 13.6 minutes
[17:42:29] pH of salt solutions | https://www.khanacademy.org/test-prep/mcat/chemical-processes/acid-base-equilibria/v/ph-of-salt-solutions | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:14:15</span> | 14.2 minutes
[17:42:36] Common ion effect and buffers | https://www.khanacademy.org/test-prep/mcat/chemical-processes/acid-base-equilibria/v/common-ion-effect | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:13:19</span> | 13.3 minutes
[17:42:42] Buffer solutions | https://www.khanacademy.org/test-prep/mcat/chemical-processes/acid-base-equilibria/v/buffer-solutions | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:37</span> | 6.6 minutes
[17:42:48] Buffer solution pH calculations | https://www.khanacademy.org/test-prep/mcat/chemical-processes/acid-base-equilibria/v/buffer-solution-calculations | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:39</span> | 11.7 minutes
[17:42:57] Acid–base titrations | https://www.khanacademy.org/test-prep/mcat/chemical-processes/titrations-and-solubility-equilibria/v/titration-introduction | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:50</span> | 8.8 minutes
[17:43:05] Worked example: Determining solute concentration by acid–base titration | https://www.khanacademy.org/test-prep/mcat/chemical-processes/titrations-and-solubility-equilibria/v/titration-calculation-example | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:50</span> | 7.8 minutes
[17:43:18] Titration of a strong acid with a strong base | https://www.khanacademy.org/test-prep/mcat/chemical-processes/titrations-and-solubility-equilibria/v/titration-of-a-strong-acid-with-a-strong-base | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:12</span> | 10.2 minutes
[17:43:27] Titration of a strong acid with a strong base (continued) | https://www.khanacademy.org/test-prep/mcat/chemical-processes/titrations-and-solubility-equilibria/v/titration-of-a-strong-acid-with-a-strong-base-continued | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:17</span> | 10.3 minutes
[17:43:38] Titration of a weak acid with a strong base | https://www.khanacademy.org/test-prep/mcat/chemical-processes/titrations-and-solubility-equilibria/v/titration-of-a-weak-acid-with-a-strong-base | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:14:27</span> | 14.4 minutes
[17:43:49] Titration of a weak acid with a strong base (continued) | https://www.khanacademy.org/test-prep/mcat/chemical-processes/titrations-and-solubility-equilibria/v/titration-of-a-weak-acid-with-a-strong-base-continued | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:15:13</span> | 15.2 minutes
